id,start_time,end_time,min_employees,created_at,updated_at,required_role,is_peak_period,notes
2f08388f-f912-44b6-9b93-4ec9b5427f84,16:00:00,00:00:00,7,2024-12-28 21:52:51.863796+00,2024-12-28 21:52:51.863796+00,,false,
5662d944-289f-45db-a2ab-921606a2cb26,06:00:00,10:00:00,6,2024-12-28 21:52:51.863796+00,2024-12-28 21:52:51.863796+00,,false,
fc94663d-2079-4abf-8370-84bf62a790f6,00:00:00,06:00:00,6,2024-12-28 21:52:51.863796+00,2024-12-28 21:52:51.863796+00,,false,
fdfa47e8-3354-40db-93cd-3b6f775820fb,10:00:00,16:00:00,8,2024-12-28 21:52:51.863796+00,2024-12-28 21:52:51.863796+00,,false,
